year,par,cf1,cf2,cf3
2016,E527239,0,0,0
2016,E525801,0,0,0
2016,E526000,0,0,0
2016,E526884,0,0,0
2016,3790458,0,0,0
2016,E527039,0,0,0
2016,E528500,0,0,0
2016,E533218,0,0,0
2016,E516764,0,0,0
2016,E528779,0,0,0
2016,E531362,0,0,0
2016,E527490,0,0,0
2016,3735352,0,0,0
2016,E533737,0,0,0
2016,E531288,0,0,0
2016,E529095,0,0,0
2016,E537674,0,0,0
2016,E539526,0,0,0
2016,2868069,0,0,0
2016,E529241,0,0,0
2016,E531998,28,0,0
2016,E529696,0,0,0
2016,E531033,0,0,0
2016,E531233,0,0,0
2016,E531452,0,0,0
2016,E534282,0,0,0
2016,E530609,0,0,0
2016,E531130,0,0,0
2016,E533108,0,0,0
2016,3321596,0,0,0
2016,E532833,0,0,0
2016,E532886,23,0,0
2016,E533222,0,0,0
2016,E533988,0,0,0
2016,E533186,0,0,0
2016,E534844,23,0,0
2016,E536627,0,0,0
2016,E531108,19,0,0
2016,3780577,20,0,0
2016,E535020,0,0,0
2016,E536096,0,0,0
2016,E543745,0,0,0
2016,E535599,0,0,0
2016,E537533,0,0,0
2016,E538415,0,0,0
2016,E536576,0,0,0
2016,E536844,0,0,0
2016,E536042,0,0,0
2016,E538003,0,0,0
2016,E538283,0,0,0
2016,E537796,0,0,0
2016,E540022,0,0,0
2016,E538328,0,0,0
2016,E538253,0,0,0
2016,E540212,0,0,0
2016,E539200,0,0,0
2016,E540810,0,0,0
2016,E539847,0,0,0
2016,E540294,0,0,0
2016,E547733,0,0,0
2016,E542393,0,0,0
2016,E541989,0,0,0
2016,E541364,0,0,0
2016,E540373,0,0,0
2016,E541873,0,0,0
2016,E541805,0,0,0
2016,E542725,0,0,0
2016,E543743,0,0,0
2016,E545097,0,0,0
2016,E543244,0,0,0
2016,E543907,0,0,0
2016,E544153,0,0,0
2016,E542744,0,0,0
2016,E544670,0,0,0
2016,E544286,0,0,0
2016,E544552,0,0,0
2016,3631477,0,0,0
2016,E525196,20,0,0
2016,E552522,0,0,0
2016,E546939,0,0,0
2016,E546809,0,0,0
2016,E547399,0,0,0
2016,E548071,0,0,0
2016,E547998,0,0,0
2016,E547163,0,0,0
2016,E549362,0,0,0
2016,E549352,0,0,0
2016,E527330,0,0,0
2016,E540473,0,0,0
2016,3704527,0,0,0
2016,3659473,0,0,0
2016,3695721,0,0,0
2016,E550847,0,0,0
2016,E558650,0,0,0
2016,E554337,0,0,0
2016,E559072,0,0,0
2016,E551883,0,0,0
2016,E554426,0,0,0
2016,E559903,0,0,0
2016,E553382,28,0,0
2016,3660656,0,0,0
2016,E550639,0,0,0
2016,E552304,0,0,0
2016,E552940,0,0,0
2016,E552486,0,0,0
2016,E554098,0,0,0
2016,E559174,0,0,0
2016,E556176,0,0,0
2016,E553571,0,0,0
2016,E554367,0,0,0
2016,E553849,0,0,0
